Gold-Buy,Gold-Sell,Date
1765.6,1691.2,10-09-11 21:32:49
1740.6,1667.0,10-10-11 09:56:52
1740.5,1666.5,10-10-11 10:03:00
1720.0,1680.0,10-10-11 10:05:02
1736.7,1667.0,10-10-11 10:12:12
1736.7,1667.8,10-10-11 10:15:15
1709.5,1695.1,10-10-11 10:18:19
1708.2,1693.8,10-10-11 10:21:23
1709.8,1694.6,10-10-11 10:24:27
1708.4,1693.0,10-10-11 10:27:31
1707.8,1693.4,10-10-11 10:30:35
1707.0,1692.2,10-10-11 10:33:39
1708.5,1693.5,10-10-11 10:37:44
1705.9,1691.5,10-10-11 10:41:49
1706.0,1690.7,10-10-11 10:44:52
1707.4,1692.6,10-10-11 10:47:56
1707.6,1693.2,10-10-11 10:52:02
1708.2,1693.6,10-10-11 10:55:05
1706.1,1692.0,10-10-11 10:58:10
1705.2,1690.0,10-10-11 11:01:13
1706.7,1691.9,10-10-11 11:04:17
1705.6,1691.5,10-10-11 11:07:21
1706.2,1691.7,10-10-11 11:10:25
1705.6,1691.2,10-10-11 11:13:29
1706.5,1691.9,10-10-11 11:16:33
1707.1,1692.4,10-10-11 11:19:37
1707.8,1693.1,10-10-11 11:22:40
1707.3,1693.1,10-10-11 11:25:44
1709.6,1695.5,10-10-11 11:28:48
1711.3,1697.0,10-10-11 11:31:52
1712.1,1697.0,10-10-11 11:35:57
1711.7,1697.3,10-10-11 11:39:00
1710.9,1696.6,10-10-11 11:42:04
1711.7,1697.4,10-10-11 11:45:08
1711.5,1697.2,10-10-11 11:48:12
1712.2,1697.9,10-10-11 11:51:16
1710.9,1696.7,10-10-11 11:54:20
1710.1,1695.9,10-10-11 11:57:24
1710.3,1695.7,10-10-11 12:00:28
1709.6,1695.0,10-10-11 12:03:32
1710.6,1695.8,10-10-11 12:06:36
1711.0,1696.3,10-10-11 12:09:39
1709.5,1695.4,10-10-11 12:13:45
1709.5,1695.0,10-10-11 12:15:47
1712.2,1698.0,10-10-11 12:19:52
1712.0,1697.7,10-10-11 12:22:56
1709.1,1694.6,10-10-11 12:24:59
1707.0,1692.1,10-10-11 12:29:04
1704.6,1689.5,10-10-11 12:32:08
1705.9,1690.9,10-10-11 12:35:12
1733.1,1663.8,10-10-11 12:41:20
1737.4,1668.6,10-10-11 13:57:58
1737.8,1668.3,10-10-11 14:01:02
1737.4,1668.0,10-10-11 14:04:05
1709.0,1694.4,10-10-11 14:07:09
1709.2,1694.8,10-10-11 14:10:13
1710.2,1695.3,10-10-11 14:14:18
1709.6,1695.4,10-10-11 14:16:21
1710.5,1695.4,10-10-11 14:19:25
1710.9,1696.0,10-10-11 14:22:28
1710.5,1695.5,10-10-11 14:26:34
1710.6,1695.6,10-10-11 14:29:38
1708.2,1694.0,10-10-11 14:31:40
1707.1,1693.0,10-10-11 14:35:48
1707.3,1692.6,10-10-11 14:38:54
1706.4,1691.1,10-10-11 14:44:02
1706.8,1691.5,10-10-11 14:48:07
1707.0,1692.4,10-10-11 14:51:11
1706.6,1692.0,10-10-11 14:55:16
1706.4,1691.6,10-10-11 14:58:21
1706.8,1692.2,10-10-11 15:00:24
1707.4,1692.5,10-10-11 15:03:27
1707.2,1692.9,10-10-11 15:07:32
1707.5,1692.1,10-10-11 15:10:36
1706.7,1692.1,10-10-11 15:13:40
1706.2,1691.5,10-10-11 15:16:44
1706.5,1692.0,10-10-11 15:19:48
1706.0,1691.6,10-10-11 15:22:52
1706.2,1691.9,10-10-11 15:25:55
1705.2,1690.8,10-10-11 15:28:59
1705.5,1691.1,10-10-11 15:32:06
1705.5,1690.6,10-10-11 15:35:10
1704.1,1689.8,10-10-11 15:38:14
1703.1,1688.5,10-10-11 15:41:20
1701.8,1687.0,10-10-11 15:44:23
1702.4,1688.2,10-10-11 15:47:27
1702.5,1687.4,10-10-11 15:50:31
1702.6,1688.2,10-10-11 15:53:35
1703.8,1689.3,10-10-11 15:56:39
1703.4,1689.2,10-10-11 15:59:43
1704.5,1689.6,10-10-11 16:02:47
1707.0,1692.3,10-10-11 16:05:50
1706.5,1692.3,10-10-11 16:08:54
1709.2,1694.8,10-10-11 16:11:58
1709.2,1694.5,10-10-11 16:15:02
1705.9,1691.7,10-10-11 16:18:05
1706.5,1692.3,10-10-11 16:22:11
1708.8,1694.4,10-10-11 16:24:14
1705.9,1691.3,10-10-11 16:27:17
1704.7,1690.4,10-10-11 16:30:21
1707.3,1693.0,10-10-11 16:33:25
1706.8,1692.5,10-10-11 16:37:30
1704.4,1689.6,10-10-11 16:40:34
1703.6,1689.5,10-10-11 16:43:38
1703.4,1689.2,10-10-11 16:45:41
1703.5,1688.9,10-10-11 16:49:46
1702.7,1687.7,10-10-11 16:52:49
1729.2,1659.0,10-10-11 20:24:33
1729.1,1658.2,10-10-11 20:32:43
1728.3,1658.1,10-10-11 20:35:47
1727.2,1657.7,10-10-11 20:38:51
1727.0,1657.5,10-10-11 20:41:54
1730.0,1658.9,10-10-11 20:44:59
1725.6,1656.6,10-10-11 20:48:02
1728.9,1658.3,10-10-11 20:51:06
1728.6,1658.4,10-10-11 20:54:10
1728.8,1657.9,10-10-11 20:57:13
1728.4,1658.7,10-10-11 21:00:18
1727.0,1657.6,10-10-11 21:03:22
1727.9,1659.0,10-10-11 21:06:26
1732.1,1657.1,10-10-11 21:09:30
1732.7,1659.7,10-10-11 21:12:34
1732.7,1656.9,10-10-11 21:15:38
1732.3,1658.7,10-10-11 21:18:42
1733.3,1657.3,10-10-11 21:21:46
1730.5,1656.2,10-10-11 21:24:50
1731.1,1655.6,10-10-11 21:27:54
1729.2,1654.4,10-10-11 21:30:59
1729.3,1658.0,10-10-11 21:34:02
1729.7,1657.7,10-10-11 21:37:06
1733.6,1659.3,10-10-11 21:40:11
1733.0,1658.5,10-10-11 21:43:15
1729.0,1659.2,10-10-11 21:46:18
1730.3,1659.0,10-10-11 21:49:22
1730.9,1659.3,10-10-11 21:52:27
1734.4,1659.4,10-10-11 21:55:31
1735.0,1661.3,10-10-11 21:58:35
1731.1,1660.5,10-10-11 22:01:39
1731.0,1660.5,10-10-11 22:04:43
1731.9,1661.3,10-10-11 22:07:52
1730.3,1659.9,10-10-11 22:10:58
1730.4,1659.9,10-10-11 22:14:02
1729.9,1659.8,10-10-11 22:17:06
1729.8,1659.3,10-10-11 22:20:10
1731.6,1661.8,10-10-11 22:23:15
1730.7,1660.1,10-10-11 22:29:22
1731.4,1660.8,10-10-11 22:32:26
1731.2,1660.6,10-10-11 22:35:30
1730.6,1660.4,10-10-11 22:38:34
1731.3,1660.8,10-10-11 22:41:39
1731.0,1660.8,10-10-11 22:44:42
1731.4,1660.9,10-10-11 22:48:47
1731.8,1661.2,10-10-11 22:50:50
1731.4,1660.9,10-10-11 22:53:54
1731.1,1660.8,10-10-11 22:56:58
1731.4,1661.1,10-10-11 23:01:03
1730.5,1661.3,10-10-11 23:03:08
1730.6,1660.2,10-10-11 23:06:12
1730.6,1660.0,10-10-11 23:10:18
1730.5,1660.5,10-10-11 23:13:21
1731.6,1661.0,10-10-11 23:16:25
1731.0,1661.1,10-10-11 23:18:28
1731.5,1661.0,10-10-11 23:22:33
1731.4,1661.2,10-10-11 23:25:38
1732.2,1661.6,10-10-11 23:28:41
1732.4,1662.5,10-10-11 23:30:44
1732.5,1662.2,10-10-11 23:34:52
1732.6,1662.5,10-10-11 23:37:57
1733.7,1662.6,10-10-11 23:41:03
1732.7,1662.7,10-10-11 23:44:08
1733.8,1663.8,10-10-11 23:47:12
1734.2,1663.5,10-10-11 23:50:16
1733.9,1664.4,10-10-11 23:52:18
1735.1,1665.2,10-10-11 23:56:24
1735.1,1666.0,10-11-11 00:02:34
1733.6,1664.4,10-11-11 00:05:38
1734.1,1663.5,10-11-11 00:08:43
1733.4,1663.0,10-11-11 00:11:47
1733.6,1663.1,10-11-11 00:14:50
1734.0,1663.7,10-11-11 00:17:55
1734.5,1664.5,10-11-11 00:20:59
1733.1,1664.1,10-11-11 00:24:03
1733.2,1663.8,10-11-11 00:27:06
1733.5,1663.2,10-11-11 00:30:10
1733.9,1663.4,10-11-11 00:33:14
1733.6,1663.1,10-11-11 00:36:18
1734.0,1663.7,10-11-11 00:39:22
1733.8,1664.4,10-11-11 00:42:26
1733.4,1663.1,10-11-11 00:45:29
1733.7,1663.5,10-11-11 00:48:33
1734.0,1663.6,10-11-11 00:51:37
1738.2,1664.3,10-11-11 00:54:42
1734.7,1664.5,10-11-11 00:57:46
1735.4,1665.2,10-11-11 01:00:51
1735.2,1664.4,10-11-11 01:03:55
1734.6,1663.4,10-11-11 01:06:59
1734.0,1663.3,10-11-11 01:10:03
1734.2,1663.4,10-11-11 01:13:06
1734.2,1663.5,10-11-11 01:16:10
1738.7,1663.5,10-11-11 01:49:53
1734.7,1663.9,10-11-11 02:02:09
1744.1,1668.9,10-11-11 02:06:14
1742.8,1670.2,10-11-11 02:09:18
1742.4,1671.1,10-11-11 02:11:21
1741.6,1669.4,10-11-11 02:18:30
1741.0,1668.7,10-11-11 02:21:34
1744.0,1668.6,10-11-11 02:24:38
1738.2,1668.7,10-11-11 02:26:40
1740.4,1668.3,10-11-11 02:30:45
1740.5,1668.8,10-11-11 02:33:49
1740.7,1669.2,10-11-11 02:36:53
1740.9,1669.2,10-11-11 02:39:57
1739.7,1667.5,10-11-11 02:43:01
1739.9,1667.3,10-11-11 02:46:05
1739.9,1667.5,10-11-11 02:49:09
1739.7,1667.2,10-11-11 02:52:13
1739.6,1667.3,10-11-11 02:55:17
1739.5,1667.5,10-11-11 02:58:20
1739.0,1667.1,10-11-11 03:01:24
1739.9,1667.3,10-11-11 03:04:28
1739.8,1667.5,10-11-11 03:10:36
1739.1,1667.1,10-11-11 03:13:39
1741.1,1666.1,10-11-11 03:16:43
1738.1,1666.0,10-11-11 03:19:47
1737.9,1666.0,10-11-11 03:22:52
1736.8,1664.8,10-11-11 03:25:56
1738.0,1666.1,10-11-11 03:29:00
1738.5,1666.4,10-11-11 03:32:03
1737.7,1666.2,10-11-11 03:35:08
1737.2,1662.6,10-11-11 03:38:12
1737.0,1665.2,10-11-11 03:41:15
1736.0,1666.3,10-11-11 03:44:19
1735.3,1663.8,10-11-11 03:47:23
1735.1,1663.0,10-11-11 03:50:26
1735.5,1663.1,10-11-11 03:53:30
1734.3,1662.8,10-11-11 03:56:34
1734.7,1662.6,10-11-11 03:59:38
1733.6,1661.9,10-11-11 04:02:41
1732.8,1659.4,10-11-11 04:05:45
1732.7,1658.9,10-11-11 04:08:49
1733.1,1661.1,10-11-11 04:11:52
1731.9,1660.2,10-11-11 04:14:56
1732.4,1661.6,10-11-11 04:18:00
1732.7,1662.2,10-11-11 04:21:04
1732.7,1662.6,10-11-11 04:25:09
1734.1,1659.0,10-11-11 04:27:12
1733.2,1658.7,10-11-11 04:30:16
1732.7,1657.9,10-11-11 04:33:19
1732.6,1657.8,10-11-11 04:37:24
1732.2,1657.5,10-11-11 04:39:27
1731.6,1657.0,10-11-11 04:42:31
1731.5,1657.2,10-11-11 04:46:37
1733.3,1658.8,10-11-11 04:49:40
1732.4,1658.8,10-11-11 04:52:44
1732.4,1658.6,10-11-11 04:54:47
1734.4,1661.6,10-11-11 04:58:52
1734.5,1660.7,10-11-11 05:01:55
1734.7,1661.2,10-11-11 05:04:59
1734.0,1661.4,10-11-11 05:07:01
1734.2,1661.4,10-11-11 05:11:06
1733.9,1661.2,10-11-11 05:14:10
1733.4,1660.6,10-11-11 05:17:14
1733.8,1661.1,10-11-11 05:20:18
1733.9,1661.1,10-11-11 05:23:21
1734.1,1661.3,10-11-11 05:26:25
1734.0,1661.2,10-11-11 05:29:29
1734.9,1662.1,10-11-11 05:32:33
1737.4,1661.6,10-11-11 05:35:37
1738.4,1663.3,10-11-11 05:38:41
1738.8,1664.1,10-11-11 05:41:44
1739.2,1664.3,10-11-11 05:44:48
1738.8,1662.7,10-11-11 05:47:52
1738.6,1662.5,10-11-11 05:50:56
1738.9,1663.0,10-11-11 05:54:00
1739.9,1664.2,10-11-11 05:57:04
1740.5,1664.2,10-11-11 06:00:07
1741.7,1665.2,10-11-11 06:03:11
1740.9,1664.5,10-11-11 06:06:15
1738.8,1665.9,10-11-11 06:09:19
1740.2,1667.2,10-11-11 06:12:23
1739.2,1666.3,10-11-11 06:15:27
1740.3,1666.8,10-11-11 06:18:31
1740.4,1666.7,10-11-11 06:21:35
1741.4,1666.5,10-11-11 06:24:38
1740.5,1666.1,10-11-11 06:27:42
1742.0,1665.7,10-11-11 06:30:46
1742.0,1666.2,10-11-11 06:33:49
1739.6,1666.7,10-11-11 06:36:53
1739.4,1666.4,10-11-11 06:39:57
1738.8,1666.6,10-11-11 06:43:01
1738.2,1665.4,10-11-11 06:47:06
1741.6,1669.2,10-11-11 06:50:10
1737.6,1664.7,10-11-11 06:52:12
1738.2,1664.2,10-11-11 06:55:16
1738.8,1665.2,10-11-11 06:59:21
1740.0,1665.9,10-11-11 07:02:24
1737.5,1664.8,10-11-11 07:04:28
1737.9,1665.0,10-11-11 07:07:32
1738.0,1665.2,10-11-11 07:11:37
1737.7,1665.2,10-11-11 07:14:41
1739.5,1669.9,10-11-11 07:17:45
1738.8,1664.2,10-11-11 07:20:49
1739.3,1664.4,10-11-11 07:23:53
1741.2,1664.7,10-11-11 07:26:57
1740.9,1664.6,10-11-11 07:30:01
1742.1,1665.7,10-11-11 07:33:05
1742.8,1666.3,10-11-11 07:36:09
1738.8,1666.5,10-11-11 07:39:12
1741.5,1669.5,10-11-11 07:42:16
1742.5,1670.1,10-11-11 07:45:20
1742.8,1670.2,10-11-11 07:48:24
1742.0,1666.0,10-11-11 07:51:27
1741.0,1665.6,10-11-11 07:54:31
1741.0,1665.2,10-11-11 07:57:35
1740.5,1664.9,10-11-11 09:03:55
1737.4,1664.5,10-11-11 09:19:14
1738.2,1665.2,10-11-11 09:22:18
1737.0,1664.7,10-11-11 09:25:22
1737.0,1664.7,10-11-11 09:30:41
1711.9,1691.5,10-11-11 09:32:44
1713.1,1695.5,10-11-11 09:35:48
1712.7,1693.2,10-11-11 09:38:51
1711.6,1692.3,10-11-11 09:41:55
1713.8,1691.8,10-11-11 09:44:59
1714.2,1692.1,10-11-11 09:48:03
1713.2,1692.6,10-11-11 09:51:06
1709.9,1693.6,10-11-11 09:54:11
1713.3,1694.2,10-11-11 09:57:14
1709.6,1692.3,10-11-11 10:00:18
1713.7,1694.5,10-11-11 10:03:22
1713.8,1698.2,10-11-11 10:06:27
1708.2,1693.2,10-11-11 10:09:30
1705.7,1690.6,10-11-11 10:13:36
1699.4,1684.0,10-11-11 10:16:39
1700.1,1685.2,10-11-11 10:20:44
1700.7,1685.6,10-11-11 10:22:47
1701.0,1686.1,10-11-11 10:26:52
1699.7,1685.3,10-11-11 10:30:57
1698.5,1684.1,10-11-11 10:35:02
1698.0,1682.9,10-11-11 10:38:05
1698.0,1683.1,10-11-11 10:41:09
1698.0,1682.9,10-11-11 10:44:13
1698.8,1683.5,10-11-11 10:47:17
1698.8,1683.9,10-11-11 10:51:22
1700.8,1686.0,10-11-11 10:53:25
1701.5,1686.8,10-11-11 10:56:28
1702.0,1687.3,10-11-11 10:59:32
1700.0,1685.2,10-11-11 11:03:37
1700.4,1685.6,10-11-11 11:06:41
1699.7,1685.4,10-11-11 11:09:45
1699.8,1684.9,10-11-11 11:12:49
1699.0,1684.4,10-11-11 11:15:53
1702.3,1688.2,10-11-11 11:19:58
1701.4,1687.0,10-11-11 11:22:00
1700.5,1686.3,10-11-11 11:25:04
1700.6,1686.0,10-11-11 11:28:08
1698.9,1684.5,10-11-11 11:32:13
1698.7,1684.3,10-11-11 11:35:18
1698.3,1683.5,10-11-11 11:37:20
1699.1,1684.0,10-11-11 11:40:24
1699.4,1684.5,10-11-11 11:44:29
1699.6,1684.9,10-11-11 11:48:34
1700.1,1684.9,10-11-11 11:51:38
1699.0,1684.3,10-11-11 11:54:42
1700.4,1685.6,10-11-11 11:57:46
1700.8,1686.2,10-11-11 12:00:51
1727.9,1659.1,10-11-11 12:20:16
1724.8,1655.6,10-11-11 12:23:20
1723.2,1654.3,10-11-11 12:26:25
1722.0,1653.4,10-11-11 12:29:28
1694.0,1679.0,10-11-11 12:32:32
1693.6,1678.9,10-11-11 12:35:36
1695.5,1680.5,10-11-11 12:38:40
1688.2,1673.8,10-11-11 12:41:44
1690.5,1675.5,10-11-11 12:44:48
1690.8,1675.4,10-11-11 12:47:51
1692.9,1677.6,10-11-11 12:50:55
1693.3,1678.3,10-11-11 12:53:59
1693.1,1679.0,10-11-11 12:57:03
1691.7,1677.7,10-11-11 13:00:06
1692.8,1677.8,10-11-11 13:04:12
1693.3,1678.5,10-11-11 13:07:15
1694.9,1679.8,10-11-11 13:10:19
1694.9,1679.6,10-11-11 13:14:24
1695.6,1680.3,10-11-11 13:18:28
1693.2,1678.4,10-11-11 13:20:31
1695.2,1680.9,10-11-11 13:23:35
1693.6,1679.4,10-11-11 13:26:38
1694.7,1679.5,10-11-11 13:30:43
1694.4,1679.4,10-11-11 13:33:47
1694.6,1680.5,10-11-11 13:35:50
1695.3,1680.9,10-11-11 13:38:54
1696.8,1682.1,10-11-11 13:42:59
1696.8,1681.7,10-11-11 13:46:03
1694.9,1680.0,10-11-11 13:49:07
1695.2,1680.3,10-11-11 13:52:10
1696.1,1681.0,10-11-11 13:54:13
1697.1,1682.0,10-11-11 13:58:18
1697.0,1682.3,10-11-11 14:01:22
1696.1,1680.8,10-11-11 14:04:26
1695.3,1680.0,10-11-11 14:07:29
1694.1,1678.9,10-11-11 14:10:33
1693.7,1678.3,10-11-11 14:13:37
1693.8,1679.5,10-11-11 14:16:41
1695.6,1680.6,10-11-11 14:19:45
1695.2,1680.8,10-11-11 14:22:48
1722.2,1653.8,10-11-11 14:28:56
1723.3,1654.1,10-11-11 14:32:00
1722.4,1653.3,10-11-11 14:35:04
1724.3,1655.1,10-11-11 14:38:07
1697.0,1681.8,10-11-11 14:41:11
1698.4,1682.9,10-11-11 14:44:15
1698.2,1682.8,10-11-11 14:47:19
1697.2,1681.8,10-11-11 14:50:23
1696.2,1680.8,10-11-11 14:53:26
1696.0,1680.9,10-11-11 14:56:30
1695.6,1680.3,10-11-11 14:59:34
1695.4,1680.1,10-11-11 15:02:38
